Season,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WIN,LOSS,WIN%
2024,San Antonio Spurs,82,241.8,41.9,90.7,0.46,12.6,36.4,0.35,29.3,54.3,0.54,15.6,20,0.78,10.4,33.9,44.2,29.9,7.1,6.3,15.1,17.2,112.1,31,51,0.38
2024,Orlando Magic,82,241.2,40.5,84.9,0.48,11,31.3,0.35,29.5,53.6,0.55,18.5,24.4,0.76,10.5,31.8,42.3,24.7,8.2,5.2,14.7,19.7,110.5,22,60,0.27
2024,Brooklyn Nets,82,241.5,40.7,89.1,0.46,13.3,36.7,0.36,27.4,52.4,0.52,15.8,20.9,0.76,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4,25,57,0.3
2024,Miami Heat,82,240.9,39.8,85.6,0.47,12.5,33.7,0.37,27.4,51.9,0.53,18,22,0.82,9.3,33,42.3,25.8,7.5,3.4,12.7,17.3,110.1,27,55,0.33
2024,Detroit Pistons,82,240.9,40.9,88.2,0.46,11,31.7,0.35,29.8,56.5,0.53,17,21.7,0.79,10.5,32.8,43.3,25.5,6.5,4.7,15.2,20.6,109.9,14,68,0.17
2024,Charlotte Hornets,82,240.6,40,87,0.46,12.1,34,0.36,28,53,0.53,14.5,18.4,0.79,9.3,31,40.3,24.8,6.9,4.5,13.8,18,106.6,15,67,0.18
2024,Portland Trail Blazers,82,242.4,39.4,89.7,0.44,11.5,33.2,0.35,27.9,56.5,0.49,16.2,20.5,0.79,12.6,30.1,42.7,23.1,7.6,4.3,15.2,20.2,106.4,21,61,0.26
2024,Memphis Grizzlies,82,241.2,38.4,88.2,0.44,13.1,37.8,0.35,25.3,50.4,0.5,16,21,0.76,10.9,31.7,42.6,24.7,8.2,6.1,15.1,19.1,105.8,21,61,0.26
Overall,Milwakuee Bucks,80,241.22,43.14,90.24,0.48,14.2,38.42,0.37,28.98,51.82,0.56,17.4,22.76,0.77,10.06,37.4,47.46,25.54,7.28,4.88,13.72,18.48,117.92,52.6,27.4,0.66
Overall,Golden State Warriors,80,241.22,42.52,89.24,0.48,14.72,38.92,0.38,27.82,50.28,0.55,16.02,20.4,0.79,10.02,35.2,45.2,28.66,7.76,4.84,14.96,20.9,115.82,47,33,0.59
Overall,New Orleans Pelicans,80,241.22,42.18,88.86,0.47,11,31.02,0.35,31.18,57.84,0.54,18.4,23.98,0.77,11.16,34.36,45.52,26.18,7.98,4.5,14.22,19.54,113.76,45.8,34.2,0.57
Overall,Philadelphia 76ers,80,241.22,40.92,86.56,0.47,11.68,31.6,0.37,29.24,54.96,0.53,20.18,25.1,0.8,9.82,33.96,43.82,24.88,8.08,5.5,13.5,20.32,113.7,43.6,36.4,0.54
Overall,Los Angeles Clippers,80,241.22,41.34,86.88,0.48,12.48,32.26,0.39,28.84,54.64,0.53,18.26,22.7,0.81,9.6,34.34,43.98,24.38,7.24,4.64,13.74,19.82,113.34,43.8,36.2,0.55
Overall,Portland Trail Blazers,80,241.22,40.4,88.78,0.46,12.76,35.36,0.36,27.64,53.4,0.52,17.8,22.32,0.8,10.96,32.76,43.72,22.9,7.18,4.68,13.82,20.12,111.36,35.8,44.2,0.45
Overall,Oklahoma City Thunder,80,241.22,41.46,90.6,0.46,12.16,34.68,0.35,29.34,55.92,0.52,17.04,22.28,0.77,10.62,34.38,44.98,23.84,8.12,5,13.96,19.72,112.16,43.2,36.8,0.53
Overall,Toronto Raptors,80,241.22,41.34,90.02,0.46,12.2,34.48,0.35,29.14,55.52,0.52,17.2,21.92,0.78,11.2,32.36,43.56,24.8,8.6,5.04,13.08,20.04,112.08,39.4,40.6,0.49
Overall,Sacramento Kings,80,241.22,42.64,89.78,0.48,12.6,34.6,0.36,30.06,55.2,0.55,17.22,22.8,0.75,10.06,33.18,43.24,26.04,7.52,4.3,13.5,19.86,115.1,47.8,32.2,0.6
Overall,Washington Wizards,80,241.22,42.2,89.06,0.47,11.14,32.02,0.35,31.08,57.02,0.55,17.7,22.88,0.77,9.4,33.68,43.08,26.02,7.28,4.8,13.94,19.98,113.22,44.6,35.4,0.56
Overall,Houston Rockets,80,241.22,40.06,88.44,0.45,13.3,38.54,0.34,26.74,49.86,0.54,18.1,23.98,0.75,10.8,32.9,43.7,23.12,7.7,4.76,14.68,20.68,111.48,37.4,42.6,0.47
Overall,Atlanta Hawks,80,241.22,42.26,90.44,0.47,12.56,34.6,0.36,29.72,55.84,0.53,18.48,23.14,0.8,11.18,33.78,44.96,25.22,7.4,4.7,13.7,19.8,115.52,49.2,30.8,0.61
