Season,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WIN,LOSS,WIN%
2021,San Antonio Spurs,72,242.8,41.9,90.5,0.46,9.9,28.4,0.35,31.9,62.1,0.51,17.4,22,0.79,9.3,34.6,43.9,24.4,7,5.1,11.4,18,111.1,31,41,0.43
2021,Chicago Bulls,72,241.4,42.2,88.6,0.48,12.6,34,0.37,29.6,54.6,0.54,13.8,17.5,0.79,9.6,35.3,45,26.8,6.7,4.2,15.1,18.9,110.7,33,39,0.46
2021,Los Angeles Lakers,72,242.4,40.6,86.1,0.47,11.1,31.2,0.35,29.6,54.8,0.54,17.2,23.3,0.74,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,34,38,0.47
2021,Charlotte Hornets,72,241,39.9,87.8,0.46,13.7,37,0.37,26.3,50.8,0.52,15.9,20.9,0.76,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18,109.5,33,39,0.46
2021,Houston Rockets,72,240.3,39.3,88.5,0.44,13.8,40.6,0.34,25.5,47.9,0.53,16.5,22.3,0.74,9.3,33.3,42.6,23.6,7.6,5,14.7,19.5,108.8,31,41,0.43
2021,Miami Heat,72,241.4,39.2,83.7,0.47,12.9,36.2,0.36,26.3,47.5,0.55,16.7,21.1,0.79,8,33.5,41.5,26.3,7.9,4,14.1,18.9,108.1,20,52,0.28
2021,New York Knicks,72,242.1,39.4,86.5,0.46,11.8,30,0.39,27.7,56.4,0.49,16.4,20.9,0.78,9.7,35.5,45.1,21.4,7,5.1,12.9,20.5,107,23,49,0.32
2021,Detroit Pistons,72,242.1,38.7,85.6,0.45,11.6,32.9,0.35,27.1,52.7,0.52,17.8,23.4,0.76,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,17,55,0.24
2021,Oklahoma City Thunder,72,241,38.8,88,0.44,11.9,35.1,0.34,26.9,52.9,0.51,15.5,21.3,0.73,9.9,35.7,45.6,22.1,7,4.4,16.1,18.1,105,22,50,0.31
2021,Orlando Magic,72,240.7,38.3,89.2,0.43,10.9,31.8,0.34,27.4,57.4,0.48,16.6,21.4,0.78,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104,21,51,0.29
2021,Cleveland Cavaliers,72,242.1,38.6,85.8,0.45,10,29.7,0.34,28.6,56,0.51,16.7,22.4,0.74,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,22,50,0.31
2022,Minnesota Timberwolves,82,241.2,41.6,91,0.46,14.8,41.3,0.36,26.8,49.7,0.54,18,23.1,0.78,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9,51,31,0.62
2022,Memphis Grizzlies,82,241.2,43.5,94.4,0.46,11.5,32.7,0.35,32,61.7,0.52,17,23.1,0.73,14.1,35,49.2,26,9.8,6.5,13.2,19.8,115.6,64,18,0.78
2022,Milwaukee Bucks,82,240.9,41.8,89.4,0.47,14.1,38.4,0.37,27.8,51,0.54,17.8,22.9,0.78,10.2,36.5,46.7,23.9,7.6,4,13.4,18.2,115.5,49,33,0.6
2022,Charlotte Hornets,82,242.4,42.8,91.4,0.47,13.9,38.2,0.37,28.8,53.3,0.54,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3,56,26,0.68
2022,Phoenix Suns,82,240.6,43.7,90.1,0.49,11.6,31.9,0.36,32.1,58.2,0.55,15.9,19.9,0.8,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,53,29,0.65
2022,Atlanta Hawks,82,240.3,41.5,88.3,0.47,12.9,34.4,0.37,28.6,53.9,0.53,18.1,22.3,0.81,10,33.9,44,24.6,7.2,4.2,11.9,18.7,113.9,53,29,0.65
2022,Utah Jazz,82,240.6,40.6,86.2,0.47,14.5,40.3,0.36,26,45.8,0.57,17.9,23.4,0.77,10.8,35.6,46.3,22.4,7.2,4.9,14,18.9,113.6,52,30,0.63
2022,San Antonio Spurs,82,241.5,43.2,92.7,0.47,11.3,32,0.35,32,60.7,0.53,15.4,20.4,0.75,11,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2,51,31,0.62
2022,Brooklyn Nets,82,240.9,42,88.4,0.48,11.5,31.7,0.36,30.5,56.7,0.54,17.5,21.7,0.81,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,51,31,0.62
2022,Denver Nuggets,82,241.5,41.7,86.3,0.48,12.7,35.9,0.35,29,50.4,0.58,16.7,21,0.8,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20,112.7,46,36,0.56
2022,Los Angeles Lakers,82,243.7,41.6,88.8,0.47,12,34.5,0.35,29.7,54.3,0.55,16.8,23,0.73,9.5,34.5,44,24,7.6,5.2,14.5,20.2,112.1,48,34,0.59
2022,Boston Celtics,82,242.7,40.7,87.4,0.47,13.2,37.1,0.36,27.5,50.3,0.55,17,20.9,0.82,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,48,34,0.59
2022,Chicago Bulls,82,240.6,41.7,86.9,0.48,10.6,28.8,0.37,31.1,58.1,0.54,17.5,21.5,0.81,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6,44,38,0.54
2022,Indiana Pacers,82,242.4,41.4,89.5,0.46,12.2,35.4,0.34,29.3,54.1,0.54,16.4,21.4,0.77,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5,43,39,0.52
2022,Golden State Warriors,82,240.6,40.5,86.4,0.47,14.3,39.4,0.36,26.2,47,0.56,15.6,20.3,0.77,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21,111,44,38,0.54
2022,Sacramento Kings,82,241.5,40.5,88.1,0.46,11.4,33.2,0.34,29.1,54.9,0.53,17.9,23.3,0.77,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3,43,39,0.52
2022,Miami Heat,82,242.1,39.6,84.8,0.47,13.6,35.8,0.38,26,49,0.53,17.3,21.4,0.81,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110,34,48,0.41
2022,Philadelphia 76ers,82,241.5,39.4,84.5,0.47,11.6,31.8,0.36,27.8,52.7,0.53,19.6,23.8,0.82,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9,42,40,0.51
2022,Houston Rockets,82,240.9,39.4,86.4,0.46,13.5,38.7,0.35,25.9,47.7,0.54,17.5,24.5,0.71,9.6,32.4,42,23.6,7.3,4.7,16.5,20.6,109.7,37,45,0.45
2022,Toronto Raptors,82,242.1,40.6,91.3,0.45,11.9,34.2,0.35,28.7,57.1,0.5,16.2,21.3,0.76,13.4,32,45.3,22.1,9,4.6,12.5,19.6,109.4,46,36,0.56
2022,New Orleans Pelicans,82,240.9,40.2,88,0.46,10.6,32.1,0.33,29.5,55.9,0.53,18.3,23.2,0.79,12,33.2,45.2,25,8.3,4,14.1,19.7,109.3,36,46,0.44
2022,Washington Wizards,82,241.8,40.6,86,0.47,10.5,30.6,0.34,30.1,55.4,0.54,17,21.7,0.78,9,34.1,43.1,25,6.4,5,13.1,18.8,108.6,33,49,0.4
2022,Los Angeles Clippers,82,241.2,40.1,87.4,0.46,12.8,34.2,0.37,27.3,53.3,0.51,15.5,19.6,0.79,9.1,34.9,44,24,7.4,5,13.7,18.6,108.4,35,47,0.43
2022,Dallas Mavericks,82,240.9,39.3,85.1,0.46,13.1,37.4,0.35,26.2,47.8,0.55,16.4,21.2,0.77,9.3,33.8,43,23.4,6.7,4,12.5,19.7,108,25,57,0.3
2022,Cleveland Cavaliers,82,240.6,39.7,84.6,0.47,11.6,32.8,0.36,28.1,51.9,0.54,16.8,22.1,0.76,10.2,34,44.2,25.2,7.1,4.2,14.4,17.5,107.8,30,52,0.37
2022,New York Knicks,82,241.2,37.7,86.2,0.44,13.2,36.9,0.36,24.5,49.3,0.5,18,24.1,0.74,11.5,34.6,46.1,21.9,7,4.9,13.3,20.4,106.5,23,59,0.28
2022,Portland Trail Blazers,82,240.6,38.5,87.1,0.44,12.7,36.8,0.35,25.8,50.3,0.51,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8,4.5,14.5,21.1,106.2,22,60,0.27
2022,Detroit Pistons,82,241.2,38.2,88.6,0.43,11.3,34.6,0.33,26.9,54,0.5,17.2,22,0.78,11,32,43,23.5,7.7,4.8,14.2,21.9,104.8,24,58,0.29
2022,Orlando Magic,82,241.2,38.3,88.3,0.43,12.2,36.9,0.33,26.1,51.4,0.51,15.5,19.7,0.79,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2,20,62,0.24
2022,Oklahoma City Thunder,82,241.5,38.3,89.1,0.43,12.1,37.4,0.32,26.2,51.8,0.51,15,19.9,0.76,10.4,35.2,45.6,22.2,7.6,4.6,14,18.3,103.7,27,55,0.33
2023,Sacramento Kings,82,241.8,43.6,88.2,0.49,13.8,37.3,0.37,29.8,50.9,0.59,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7,3.4,13.5,19.7,120.7,57,25,0.7
2023,Golden State Warriors,82,241.8,43.1,90.2,0.48,16.6,43.2,0.39,26.5,47,0.56,16,20.2,0.79,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9,51,31,0.62
2023,Atlanta Hawks,82,242.1,44.6,92.4,0.48,10.8,30.5,0.35,33.9,61.8,0.55,18.5,22.6,0.82,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8,118.4,54,28,0.66
2023,Boston Celtics,82,243.7,42.2,88.8,0.48,16,42.6,0.38,26.2,46.2,0.57,17.5,21.6,0.81,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9,51,31,0.62
2023,Oklahoma City Thunder,82,242.1,43.1,92.6,0.47,12.1,34.1,0.36,31,58.5,0.53,19.2,23.7,0.81,11.4,32.3,43.6,24.4,8.2,4.2,13,21,117.5,58,24,0.71
2023,Los Angeles Lakers,82,242.4,42.9,89,0.48,10.8,31.2,0.35,32.1,57.8,0.56,20.6,26.6,0.78,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2,53,29,0.65
2023,Utah Jazz,82,241.5,42.5,89.8,0.47,13.3,37.8,0.35,29.2,52,0.56,18.7,23.8,0.79,11.8,34.1,45.9,26,6.1,5.2,15.4,20.5,117.1,47,35,0.57
2023,Memphis Grizzlies,82,241.2,43.7,92.1,0.48,12,34.2,0.35,31.7,57.9,0.55,17.5,23.8,0.73,12,34.6,46.6,26,8.3,5.8,13.6,20,116.9,48,34,0.59
2023,Milwaukee Bucks,82,241.8,42.7,90.4,0.47,14.8,40.3,0.37,27.9,50.1,0.56,16.6,22.4,0.74,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9,45,37,0.55
2023,Indiana Pacers,82,240.9,42,89.6,0.47,13.6,37,0.37,28.4,52.6,0.54,18.7,23.7,0.79,10.1,31.4,41.5,27,7.7,5.8,14.9,21.2,116.3,42,40,0.51
2023,New York Knicks,82,243.4,42,89.4,0.47,12.6,35.7,0.35,29.4,53.6,0.55,19.4,25.5,0.76,12.6,34,46.6,22.9,6.4,4.1,13,20.3,116,44,38,0.54
2023,Denver Nuggets,82,240.9,43.6,86.4,0.5,11.8,31.2,0.38,31.8,55.2,0.58,16.8,22.4,0.75,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,115.8,41,41,0.5
2023,Minnesota Timberwolves,82,241.8,42.9,87.4,0.49,12.2,33.3,0.37,30.7,54.1,0.57,17.9,23.7,0.76,9.1,32.8,41.9,26.2,8,5.4,15.3,21.6,115.8,40,42,0.49
2023,Philadelphia 76ers,82,242.4,40.8,83.8,0.49,12.6,32.6,0.39,28.2,51.2,0.55,21,25.1,0.84,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2,40,42,0.49
2023,New Orleans Pelicans,82,242.1,42,87.6,0.48,11,30.1,0.36,31.1,57.5,0.54,19.3,24.4,0.79,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4,45,37,0.55
2023,Dallas Mavericks,82,243,40,84.3,0.48,15.2,41,0.37,24.8,43.3,0.57,19,25.1,0.76,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2,43,39,0.52
2023,Phoenix Suns,82,241.2,42.1,90.1,0.47,12.2,32.6,0.37,29.9,57.5,0.52,17.2,21.7,0.79,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,113.6,44,38,0.54
2023,Los Angeles Clippers,82,241.8,41.1,86.1,0.48,12.7,33.4,0.38,28.4,52.7,0.54,18.7,23.9,0.78,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6,41,41,0.5
2023,Portland Trail Blazers,82,240.6,40.5,85.4,0.47,12.9,35.3,0.37,27.6,50.1,0.55,19.6,24.6,0.8,9.4,31.1,40.5,24.2,6.7,4.6,14.5,20,113.4,38,44,0.46
2023,Brooklyn Nets,82,240.6,41.5,85.1,0.49,12.8,33.8,0.38,28.7,51.3,0.56,17.7,22.1,0.8,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4,42,40,0.51
2023,Washington Wizards,82,240.9,42.1,86.9,0.49,11.3,31.7,0.36,30.9,55.2,0.56,17.6,22.4,0.79,9.4,34.2,43.6,25.4,6.8,5.2,14.1,18.8,113.2,44,38,0.54
2023,Chicago Bulls,82,242.7,42.5,86.8,0.49,10.4,28.9,0.36,32.1,57.9,0.56,17.6,21.8,0.81,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,113.1,37,45,0.45
2023,San Antonio Spurs,82,242.1,43.1,92.6,0.47,11.1,32.2,0.35,32,60.4,0.53,15.8,21.2,0.74,11.8,31.9,43.7,27.2,7,3.9,15.3,19.9,113,35,47,0.43
